2025-10-17 23:52:47 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.003s]
2025-10-17 23:53:20 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.003s]
2025-10-17 23:53:20 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.003s]
2025-10-17 23:53:27 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → 
2025-10-17 23:53:30 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:53:30 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.004s]
2025-10-17 23:54:03 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:54:03 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:54:05 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:54:08 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:54:08 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:54:42 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:54:42 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:54:44 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:54:47 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:54:47 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:55:20 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:55:20 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:55:23 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:55:26 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:55:26 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:55:59 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
